rok,csfd,zanr
1916,0,KATAS
1917,0,KATAS
1918,0,KATAS
1919,0,KATAS
1920,0,KATAS
1921,0,KATAS
1922,0,KATAS
1923,0,KATAS
1924,0,KATAS
1925,0,KATAS
1926,0,KATAS
1927,1,KATAS
1928,0,KATAS
1929,0,KATAS
1930,0,KATAS
1931,0,KATAS
1932,0,KATAS
1933,0,KATAS
1934,0,KATAS
1935,0,KATAS
1936,0,KATAS
1937,0,KATAS
1938,0,KATAS
1939,0,KATAS
1940,0,KATAS
1941,0,KATAS
1942,0,KATAS
1943,1,KATAS
1944,0,KATAS
1945,0,KATAS
1946,0,KATAS
1947,0,KATAS
1948,0,KATAS
1949,0,KATAS
1950,0,KATAS
1951,1,KATAS
1952,0,KATAS
1953,1,KATAS
1954,0,KATAS
1955,0,KATAS
1956,0,KATAS
1957,0,KATAS
1958,0,KATAS
1959,0,KATAS
1960,0,KATAS
1961,0,KATAS
1962,0,KATAS
1963,0,KATAS
1964,0,KATAS
1965,0,KATAS
1966,0,KATAS
1967,0,KATAS
1968,0,KATAS
1969,0,KATAS
1970,0,KATAS
1971,0,KATAS
1972,1,KATAS
1973,1,KATAS
1974,2,KATAS
1975,0,KATAS
1976,0,KATAS
1977,0,KATAS
1978,1,KATAS
1979,2,KATAS
1980,1,KATAS
1981,0,KATAS
1982,0,KATAS
1983,0,KATAS
1984,0,KATAS
1985,0,KATAS
1986,0,KATAS
1987,0,KATAS
1988,0,KATAS
1989,0,KATAS
1990,0,KATAS
1991,0,KATAS
1992,0,KATAS
1993,0,KATAS
1994,0,KATAS
1995,0,KATAS
1996,1,KATAS
1997,2,KATAS
1998,1,KATAS
1999,0,KATAS
2000,0,KATAS
2001,0,KATAS
2002,0,KATAS
2003,0,KATAS
2004,0,KATAS
2005,0,KATAS
2006,0,KATAS
2007,0,KATAS
2008,0,KATAS
2009,0,KATAS
2010,0,KATAS
2011,0,KATAS
2012,1,KATAS
1911,0,KOMED
1912,0,KOMED
1913,0,KOMED
1914,1,KOMED
1915,0,KOMED
1916,1,KOMED
1917,0,KOMED
1918,0,KOMED
1919,1,KOMED
1920,1,KOMED
1921,3,KOMED
1922,1,KOMED
1923,3,KOMED
1924,2,KOMED
1925,6,KOMED
1926,4,KOMED
1927,3,KOMED
1928,6,KOMED
1929,3,KOMED
1930,7,KOMED
1931,19,KOMED
1932,22,KOMED
1933,27,KOMED
1934,28,KOMED
1935,16,KOMED
1936,23,KOMED
1937,24,KOMED
1938,33,KOMED
1939,29,KOMED
1940,28,KOMED
1941,24,KOMED
1942,18,KOMED
1943,10,KOMED
1944,17,KOMED
1945,7,KOMED
1946,8,KOMED
1947,20,KOMED
1948,12,KOMED
1949,18,KOMED
1950,14,KOMED
1951,14,KOMED
1952,25,KOMED
1953,20,KOMED
1954,27,KOMED
1955,26,KOMED
1956,28,KOMED
1957,24,KOMED
1958,25,KOMED
1959,25,KOMED
1960,27,KOMED
1961,29,KOMED
1962,28,KOMED
1963,46,KOMED
1964,55,KOMED
1965,41,KOMED
1966,58,KOMED
1967,63,KOMED
1968,54,KOMED
1969,60,KOMED
1970,63,KOMED
1971,52,KOMED
1972,52,KOMED
1973,47,KOMED
1974,50,KOMED
1975,53,KOMED
1976,65,KOMED
1977,56,KOMED
1978,63,KOMED
1979,70,KOMED
1980,96,KOMED
1981,70,KOMED
1982,83,KOMED
1983,78,KOMED
