reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Fellini, Federico",Mìsto en,"Citta delle donne, La ",1980,Drama/Komedie,"Itálie, Francie",Federico Fellini,6.7,6.9,www.csfd.cz/film/2602-mesto-zen/,www.imdb.com/title/tt0080539/,-0.2
"Fellini, Federico",A loï pluje,E la nave va ,1983,Komedie/Váleènı,"Francie, Itálie",Federico Fellini,7.9,7.5,www.csfd.cz/film/2605-a-lod-pluje/,www.imdb.com/title/tt0087188/,0.4
"Fellini, Federico",Ginger a Fred,Ginger e Fred ,1986,Komedie/Poetickı/Drama,"Itálie, Francie, Západní Nìmecko",Federico Fellini,8.1,7.2,www.csfd.cz/film/2606-ginger-a-fred/,www.imdb.com/title/tt0091113/,0.899999999999999
"Fellini, Federico",Interview,Intervista ,1987,Komedie/Drama/ivotopisnı,Itálie,Federico Fellini,7.3,6.8,www.csfd.cz/film/2608-interview/,www.imdb.com/title/tt0093267/,0.5
"Fellini, Federico","Voce della luna, La ","Voce della luna, La ",1990,Komedie,"Itálie, Francie",Federico Fellini,8,6.3,www.csfd.cz/film/2618-voce-della-luna-la/,www.imdb.com/title/tt0098606/,1.7
"Tarr, Béla",Rodinné ohništì,Családi tüzfészek ,1979,Drama,Maïarsko,Béla Tarr,8.2,7.1,www.csfd.cz/film/166678-rodinne-ohniste/,www.imdb.com/title/tt0077383/,1.1
"Tarr, Béla",Panelové vztahy,Panelkapcsolat ,1982,Drama,Maïarsko,Béla Tarr,8.1,7.1,www.csfd.cz/film/166682-panelove-vztahy/,www.imdb.com/title/tt0084465/,1
"Tarr, Béla",Podzimní almanach,Öszi almanach ,1985,Drama,Maïarsko,Béla Tarr,8.2,7,www.csfd.cz/film/166684-podzimni-almanach/,www.imdb.com/title/tt0087855/,1.2
"Tarr, Béla",Prokletí,Kárhozat ,1988,Krimi/Drama/Romantickı,Maïarsko,Béla Tarr,8.2,7.6,www.csfd.cz/film/143812-prokleti/,www.imdb.com/title/tt0095475/,0.6
"Tarr, Béla",Satanské tango,Sátántangó ,1994,Drama/Komedie,"Maïarsko, Nìmecko, Švıcarsko",Béla Tarr,8.8,8,www.csfd.cz/film/143383-satanske-tango/,www.imdb.com/title/tt0111341/,0.800000000000001
"Tarr, Béla",Werckmeisterovy harmonie,Werckmeister harmóniák ,2000,Drama,"Maïarsko, Itálie, Nìmecko, Francie","Ágnes Hranitzky, Béla Tarr",8.5,7.9,www.csfd.cz/film/41568-werckmeisterovy-harmonie/,www.imdb.com/title/tt0249241/,0.6
"Tarr, Béla",Mu z Londına,"Londoni férfi, A ",2007,Krimi/Drama/Mysteriózní,"Maïarsko, Nìmecko, Francie","Béla Tarr, Ágnes Hranitzky",7.3,6.9,www.csfd.cz/film/230321-muz-z-londyna/,www.imdb.com/title/tt0415127/,0.399999999999999
"Tarr, Béla",Turínskı kùò,"Torinói ló, A ",2011,Drama/Podobenství/Poetickı,"Maïarsko, Švıcarsko, Nìmecko, Francie, USA","Béla Tarr, Ágnes Hranitzky",7.6,7.5,www.csfd.cz/film/250357-turinsky-kun/,www.imdb.com/title/tt1316540/,0.0999999999999996
"Almodóvar, Pedro","Pepi, Luci, Bom y otras chicas del montón ","Pepi, Luci, Bom y otras chicas del montón ",1980,Komedie,Španìlsko,Pedro Almodóvar,6.7,6.2,www.csfd.cz/film/79-pepi-luci-bom-y-otras-chicas-del-monton/,www.imdb.com/title/tt0081323/,0.5
"Almodóvar, Pedro",Labyrint vášní,Laberinto de pasiones ,1982,Komedie,Španìlsko,Pedro Almodóvar,7.6,6.3,www.csfd.cz/film/72-labyrint-vasni/,www.imdb.com/title/tt0084228/,1.3
"Almodóvar, Pedro",Èerná roucha,Entre tinieblas ,1983,Drama,Španìlsko,Pedro Almodóvar,7,6.4,www.csfd.cz/film/65-cerna-roucha/,www.imdb.com/title/tt0085496/,0.6
"Almodóvar, Pedro",Co jsem komu udìlala?,Qué he hecho yo para merecer esto? ,1984,Komedie,Španìlsko,Pedro Almodóvar,7.5,7.1,www.csfd.cz/film/88-co-jsem-komu-udelala/,www.imdb.com/title/tt0088461/,0.4
"Almodóvar, Pedro",Matador,Matador ,1986,Drama/Thriller,Španìlsko,Pedro Almodóvar,7.4,6.9,www.csfd.cz/film/75-matador/,www.imdb.com/title/tt0091495/,0.5
"Almodóvar, Pedro",Zákon touhy,"Ley del deseo, La ",1987,Komedie/Drama/Romantickı,Španìlsko,Pedro Almodóvar,7.2,7.1,www.csfd.cz/film/73-zakon-touhy/,www.imdb.com/title/tt0093412/,0.100000000000001
"Almodóvar, Pedro",eny na pokraji nervového zhroucení,Mujeres al borde de un ataque de nervios ,1988,Komedie/Drama,Španìlsko,Pedro Almodóvar,7.8,7.5,www.csfd.cz/film/77-zeny-na-pokraji-nervoveho-zhrouceni/,www.imdb.com/title/tt0095675/,0.3
"Almodóvar, Pedro",Spoutej mì!,Átame! ,1990,Drama/Krimi/Romantickı/Komedie,Španìlsko,Pedro Almodóvar,7.9,6.9,www.csfd.cz/film/87-spoutej-me/,www.imdb.com/title/tt0101026/,1
"Almodóvar, Pedro",Vysoké podpatky,Tacones lejanos ,1991,Drama/Komedie/Romantickı,"Španìlsko, Francie",Pedro Almodóvar,7.4,7,www.csfd.cz/film/84-vysoke-podpatky/,www.imdb.com/title/tt0103030/,0.4
"Almodóvar, Pedro",Kika,Kika ,1993,Drama/Komedie,"Španìlsko, Francie",Pedro Almodóvar,7.6,6.3,www.csfd.cz/film/71-kika/,www.imdb.com/title/tt0107315/,1.3
"Almodóvar, Pedro",Kvìt mého tajemství,"Flor de mi secreto, La ",1995,Drama,"Španìlsko, Francie",Pedro Almodóvar,7.6,6.9,www.csfd.cz/film/67-kvet-meho-tajemstvi/,www.imdb.com/title/tt0113083/,0.699999999999999
"Almodóvar, Pedro",Na dno vášnì,Carne trémula ,1997,Drama/Romantickı/Thriller,"Španìlsko, Francie",Pedro Almodóvar,8.4,7.4,www.csfd.cz/film/62-na-dno-vasne/,www.imdb.com/title/tt0118819/,1
"Almodóvar, Pedro",Vše o mé matce,Todo sobre mi madre ,1999,Drama,"Španìlsko, Francie",Pedro Almodóvar,8.5,7.8,www.csfd.cz/film/85-vse-o-me-matce/,www.imdb.com/title/tt0185125/,0.7
"Almodóvar, Pedro",Mluv s ní,Hable con ella ,2002,Drama/Romantickı/Komedie,Španìlsko,Pedro Almodóvar,8.3,8,www.csfd.cz/film/69-mluv-s-ni/,www.imdb.com/title/tt0287467/,0.300000000000001
"Almodóvar, Pedro",Špatná vıchova,"Mala educación, La ",2004,Drama/Krimi/Mysteriózní/Thriller,Španìlsko,Pedro Almodóvar,7.6,7.4,www.csfd.cz/film/74-spatna-vychova/,www.imdb.com/title/tt0275491/,0.199999999999999
"Almodóvar, Pedro",Volver,Volver ,2006,Drama/Komedie,Španìlsko,Pedro Almodóvar,7.8,7.6,www.csfd.cz/film/220915-volver/,www.imdb.com/title/tt0441909/,0.2
"Almodóvar, Pedro",Rozervaná objetí,"Abrazos rotos, Los ",2009,Drama/Thriller,Španìlsko,Pedro Almodóvar,7.5,7.2,www.csfd.cz/film/237551-rozervana-objeti/,www.imdb.com/title/tt0913425/,0.3
"Almodóvar, Pedro","Kùe, kterou nosím","Piel que habito, La ",2011,Drama/Thriller/Mysteriózní,Španìlsko,Pedro Almodóvar,7.7,7.6,www.csfd.cz/film/282333-kuze-kterou-nosim/,www.imdb.com/title/tt1189073/,0.100000000000001
"Almodóvar, Pedro",Rozkoš v oblacích,"Amantes pasajeros, Los ",2013,Komedie,Španìlsko,Pedro Almodóvar,6.5,5.7,www.csfd.cz/film/315475-rozkos-v-oblacich/,www.imdb.com/title/tt2243389/,0.8
"Cameron, James",Piraòa 2: Létající zabijáci,Piranha Part Two: The Spawning ,1981,Horor/Drama/Sci-Fi/Akèní,"USA, Itálie, Nizozemsko","James Cameron, Ovidio G. Assonitis",1.8,3.4,www.csfd.cz/film/1247-pirana-2-letajici-zabijaci/,www.imdb.com/title/tt0082910/,-1.6
"Cameron, James",Terminátor,"Terminator, The ",1984,Akèní/Sci-Fi/Thriller,"USA, Velká Británie",James Cameron,8.7,8.1,www.csfd.cz/film/1249-terminator/,www.imdb.com/title/tt0088247/,0.6
"Cameron, James",Vetøelci,Aliens ,1986,Sci-Fi/Akèní/Thriller/Horor,"USA, Velká Británie",James Cameron,9,8.5,www.csfd.cz/film/1245-vetrelci/,www.imdb.com/title/tt0090605/,0.5
"Cameron, James",Propast,"Abyss, The ",1989,Akèní/Dobrodrunı/Sci-Fi/Thriller,USA,James Cameron,8.3,7.6,www.csfd.cz/film/1244-propast/,www.imdb.com/title/tt0096754/,0.700000000000001
"Cameron, James",Terminátor 2: Den zúètování,Terminator 2: Judgment Day ,1991,Sci-Fi/Akèní/Thriller,"USA, Francie",James Cameron,9.1,8.6,www.csfd.cz/film/1248-terminator-2-den-zuctovani/,www.imdb.com/title/tt0103064/,0.5
"Cameron, James",Pravdivé li,True Lies ,1994,Akèní/Thriller/Komedie,USA,James Cameron,7.9,7.2,www.csfd.cz/film/1251-pravdive-lzi/,www.imdb.com/title/tt0111503/,0.7
"Cameron, James",Titanic,Titanic ,1997,Katastrofickı/Drama/Romantickı/Historickı,USA,James Cameron,8.4,7.6,www.csfd.cz/film/1250-titanic/,www.imdb.com/title/tt0120338/,0.800000000000001
"Cameron, James",Avatar,Avatar ,2009,Akèní/Dobrodrunı/Sci-Fi/Fantasy,"USA, Velká Británie",James Cameron,8.3,7.9,www.csfd.cz/film/228329-avatar/,www.imdb.com/title/tt0499549/,0.4
"Stone, Oliver",Ruka,"Hand, The ",1981,Drama/Horor/Thriller,USA,Oliver Stone,5.5,5.2,www.csfd.cz/film/8753-ruka/,www.imdb.com/title/tt0082497/,0.3
