Svìtovı šampion	Ring, The 	1927	Drama	Velká Británie	Alfred Hitchcock	6.1	6.2	www.csfd.cz/film/4389-svetovy-sampion/	www.imdb.com/title/tt0018328/
Švejk v civilu	Schwejk in Zivil 	1927	Komedie	Rakousko / Èeskoslovensko	Gustav Machatı	4.9	5.3	www.csfd.cz/film/6315-svejk-v-civilu/	www.imdb.com/title/tt0264070/
Titanic	East Side, West Side 	1927	Drama / Katastrofickı	USA	Allan Dwan	6.2	7.8	www.csfd.cz/film/105045-titanic/	www.imdb.com/title/tt0017841/
V sedmém nebi	Seventh Heaven 	1927	Drama / Romantickı	USA	Frank Borzage	7.3	7.7	www.csfd.cz/film/41054-v-sedmem-nebi/	www.imdb.com/title/tt0018379/
Vıchod slunce	Sunrise: A Song of Two Humans 	1927	Drama / Romantickı	USA	Friedrich W. Murnau	8.6	8.3	www.csfd.cz/film/6865-vychod-slunce/	www.imdb.com/title/tt0018455/
Wings 	Wings 	1927	Drama / Romantickı / Váleènı	USA	William A. Wellman	8.2	7.7	www.csfd.cz/film/9709-wings/	www.imdb.com/title/tt0018578/
Andìl ulice	Street Angel 	1928	Drama	USA	Frank Borzage	7.2	7.4	www.csfd.cz/film/41057-andel-ulice/	www.imdb.com/title/tt0019429/
Bouøe nad Asií	Potomok Chingis-Khana 	1928	Drama / Historickı / Váleènı	Sovìtskı svaz	Vsevolod Pudovkin	7.6	7.3	www.csfd.cz/film/37429-boure-nad-asii/	www.imdb.com/title/tt0019286/
Cirkus	Circus, The 	1928	Komedie / Rodinnı / Drama / Romantickı	USA	Charles Chaplin	8.7	8.0	www.csfd.cz/film/1460-cirkus/	www.imdb.com/title/tt0018773/
Deset dní, které otøásly svìtem	Oktyabr 	1928	Drama / Historickı	Sovìtskı svaz	Grigorij Alexandrov, Sergej M. Ejzenštejn	8.3	7.6	www.csfd.cz/film/32380-deset-dni-ktere-otrasly-svetem/	www.imdb.com/title/tt0018217/
Docks of New York, The 	Docks of New York, The 	1928	Drama / Romantickı	USA	Josef von Sternberg	7.2	7.7	www.csfd.cz/film/71914-docks-of-new-york-the/	www.imdb.com/title/tt0018839/
Ecce homo!	Crowd, The 	1928	Drama / Romantickı	USA	King Vidor	8	7.9	www.csfd.cz/film/47493-ecce-homo/	www.imdb.com/title/tt0018806/
Farmáøova ena	Farmer's Wife, The 	1928	Komedie / Drama / Romantickı	Velká Británie	Alfred Hitchcock	6.7	6.1	www.csfd.cz/film/4362-farmarova-zena/	www.imdb.com/title/tt0018876/
