ena upír|Temptress, The (1926)|1926|Drama / Romantickı|USA|"Mauritz Stiller, <a href=""/tvurce/3877-fred-niblo/"">Fred Niblo</a>"|64%|6.9|www.csfd.cz/film/23227-zena-upir/|www.imdb.com/title/tt0017449/
Metropolis|Metropolis (1927)|1927|Sci-Fi / Drama|Nìmecko|Fritz Lang|85%|8.4|www.csfd.cz/film/5612-metropolis/|www.imdb.com/title/tt0017136/
Vıchod slunce|Sunrise: A Song of Two Humans (1927)|1927|Drama / Romantickı|USA|Friedrich W. Murnau|86%|8.3|www.csfd.cz/film/6865-vychod-slunce/|www.imdb.com/title/tt0018455/
On, hrdina dne|Kid Brother, The (1927)|1927|Komedie / Rodinnı / Romantickı|USA|"Ted Wilde, <a href=""/tvurce/839-harold-lloyd/"">Harold Lloyd</a>, <a href=""/tvurce/4258-lewis-milestone/"">Lewis Milestone</a>"|86%|7.7|www.csfd.cz/film/25180-on-hrdina-dne/|www.imdb.com/title/tt0018051/
Pøíšernı host|Lodger, The (1927)|1927|Krimi / Thriller / Horor|Velká Británie|Alfred Hitchcock|83%|7.3|www.csfd.cz/film/4370-priserny-host/|www.imdb.com/title/tt0017075/
Alonzo, mu bez rukou|Unknown, The (1927)|1927|Drama / Horor / Romantickı / Thriller|USA|Tod Browning|82%|7.8|www.csfd.cz/film/1000-alonzo-muz-bez-rukou/|www.imdb.com/title/tt0018528/
Berlin, symfonie velkomìsta|Berlin: Die Sinfonie der Großstadt (1927)|1927|Dokumentární|Nìmecko|Walter Ruttmann|80%|7.7|www.csfd.cz/film/166659-berlin-symfonie-velkomesta/|www.imdb.com/title/tt0017668/
Batalion (1927)|Batalion (1927)|1927|Drama|Èeskoslovensko|Pøemysl Praskı|81%|7.7|www.csfd.cz/film/7461-batalion/|www.imdb.com/title/tt0250247/
Wings (1927)|Wings (1927)|1927|Drama / Romantickı / Váleènı|USA|William A. Wellman|82%|7.7|www.csfd.cz/film/9709-wings/|www.imdb.com/title/tt0018578/
Napoleon|Napoléon (1927)|1927|Drama / Historickı / Váleènı / ivotopisnı|Francie / Èeskoslovensko / Nìmecko / Itálie|Abel Gance|80%|7.7|www.csfd.cz/film/102458-napoleon/|www.imdb.com/title/tt0018192/
Pøíšerná chvíle|Cat and the Canary, The (1927)|1927|Horor / Mysteriózní|USA|Paul Leni|80%|7.2|www.csfd.cz/film/143643-priserna-chvile/|www.imdb.com/title/tt0017739/
Èang|Chang (1927)|1927|Dobrodrunı / Dokumentární|USA|"Merian C. Cooper, <a href=""/tvurce/3070-ernest-b-schoedsack/"">Ernest B. Schoedsack</a>"|79%|7.1|www.csfd.cz/film/8132-cang/|www.imdb.com/title/tt0017743/
Pøíšerné stíny|London After Midnight (1927)|1927|Drama / Horor|USA|Tod Browning|77%|6.9|www.csfd.cz/film/977-priserne-stiny/|www.imdb.com/title/tt0018097/
Konec Petrohradu|Konìc Sankt-Peterburga (1927)|1927|Drama|Sovìtskı svaz|Vsevolod Pudovkin|76%|7.5|www.csfd.cz/film/37424-konec-petrohradu/|www.imdb.com/title/tt0018066/
Podsvìtí|Underworld (1927)|1927|Krimi / Drama|USA|"Josef von Sternberg, <a href=""/tvurce/4694-arthur-rosson/"">Arthur Rosson</a>"|81%|7.7|www.csfd.cz/film/71920-podsveti/|www.imdb.com/title/tt0018526/
V sedmém nebi|Seventh Heaven (1927)|1927|Drama / Romantickı|USA|Frank Borzage|73%|7.7|www.csfd.cz/film/41054-v-sedmem-nebi/|www.imdb.com/title/tt0018379/
Café Electric|Café Elektric (1927)|1927|Drama|Rakousko|Gustav Ucicky|69%|6.9|www.csfd.cz/film/27624-cafe-electric/|www.imdb.com/title/tt0017726/
College (1927)|College (1927)|1927|Komedie|USA|"James W. Horne, <a href=""/tvurce/823-buster-keaton/"">Buster Keaton</a>"|66%|7.1|www.csfd.cz/film/24747-college/|www.imdb.com/title/tt0017765/
